,Carimbo de data/hora,1° artista:,2° artista:,3° artista:,4° artista:,5° artista:
0,2024/08/30 8:10:47 PM GMT-3,One direction ,Eminem,Charlie Brown Jr ,Stromae,Rubel
1,2024/08/30 8:12:38 PM GMT-3,Taylor Swift ,Sabrina Carpenter,Olivia Rodrigo ,Ariana Grande ,Katy Perry
2,2024/08/30 8:13:07 PM GMT-3,Tchelo Rodrigues,Duzz,Major RD,Jotape,Sidoka
3,2024/08/30 8:13:22 PM GMT-3,Taylor Swift,Bruno Mars,Sabrina Carpenter,Olivia Rodrigo,Kanye West
4,2024/08/30 8:14:46 PM GMT-3,One Direction,Taylor Swift,Queen,Super Junior,Harry Styles
5,2024/08/30 8:17:52 PM GMT-3,Bruno e Marrone ,João Bosco e Vinícius ,Edson e Hudson,Hugo Pena e Gabriel ,Humberto e Ronaldo 
6,2024/08/30 8:18:35 PM GMT-3,Equilibrium,Slipknot,Bring Me The Horizon,My Chemical Romance,Sungha Jung
7,2024/08/30 8:20:43 PM GMT-3,Jorge e Mateus ,Grupo menos é mais,Ícaro e Gilmar ,L7nnon,Delacruz
8,2024/08/30 8:22:53 PM GMT-3,Lucas A.R.T ( 7MZ ),Machael Jackson ,Luan Santana ,Marilha Mendonça ,Ana Castela
9,2024/08/30 8:25:27 PM GMT-3,Taylor Swift,Cigarettes after sex,Arctic Monkeys,Sabrina Carpenter,The 1975
10,2024/08/30 8:28:35 PM GMT-3,Ed Sheeran,Zayn Malik,Louis Tomlinson,Harry Styles,Niall Horan
11,2024/08/30 8:33:23 PM GMT-3,Frei Gilson,Bruno Mars,Luan Santana,Coldplay,Elis Regina
12,2024/08/30 8:43:14 PM GMT-3,Sabrina Carpenter,Alexandre Pires,Kamisa 10,Imagine Dragons,Kelly Clarkson
13,2024/08/30 8:45:26 PM GMT-3,Lagum,Coldplay ,Zé neto e Cristiano,Teddy swims ,Ana Castela 
14,2024/08/30 9:04:42 PM GMT-3,Yun Li,The Killers,Twenty One Pilots,Grandson,AJR
15,2024/08/30 9:28:26 PM GMT-3,Jorge e Mateus,Maneva,Imagine Dragons ,Coldplay,Henrique e Juliano
16,2024/08/30 10:01:13 PM GMT-3,Adriana Calcanhotto ,Chico Buarque ,Tom Zé,Chet Baker ,Ludmilla 
17,2024/08/30 11:50:36 PM GMT-3,Orochi,Jorge e Matheus,Matuê,Filipe Ret,Travis Scott
18,2024/08/31 7:18:06 AM GMT-3,Álvaro Mamute ,Froid,Yago oproprio,Konai,Baco exu do blues
19,2024/08/31 7:21:16 AM GMT-3,Jorge e Matheus,Fiduma e Jeca,Legião Urbana,Twenty one pilots,ACDC
20,2024/08/31 10:23:05 AM GMT-3,Henrique e Juliano,Jads & Jadson,Ana Castela,Os Serranos,L7nnon
21,2024/08/31 11:08:52 AM GMT-3,Paramore,Taylor Swift ,Bad Omens,The Pretty Reckless,The Smiths
22,2024/08/31 7:04:31 PM GMT-3,Henrique e Juliano,Zé neto e cristiano,Matheus e Kauan,Marilia Mendonça ,50 cent
23,2024/09/01 4:38:48 PM GMT-3,The Beatles,Kanye West,Fleetwood Mac,Jim Croce,Simon and Garfunkel
